predictor log10,response log10
0.602059991,4.952439605
0.698970004,4.886951188
0.77815125,4.813788064
0.84509804,4.782646188
0.903089987,4.75288376
0.954242509,4.733460549
1,4.740732434
1.041392685,4.736827253
1.079181246,4.730119195
1.113943352,4.721269976
1.146128036,4.703771718
1.176091259,4.681973741
1.204119983,4.668814151
1.230448921,4.65813571
1.255272505,4.624056
1.278753601,4.710507932
1.301029996,4.64627392
1.322219295,4.65116367
1.342422681,4.629022529
1.361727836,4.612345369
1.380211242,4.63227682
1.397940009,4.61766325
1.414973348,4.628149836
1.431363764,4.593971036
1.447158031,4.598042337
1.462397998,4.594575352
1.477121255,4.590878971
1.491361694,4.50240891
1.505149978,4.664234045
1.51851394,4.652349502
1.531478917,4.639288887
1.544068044,4.620370323
1.556302501,4.567587017
1.568201724,4.755895808
1.602059991,4.520758564
1.612783857,4.629404502
1.62324929,4.570933862
1.633468456,4.580993363
1.653212514,4.607937305
1.662757832,4.705829515
1.681241237,4.652430079
1.698970004,4.588663796
1.716003344,4.630132821
1.748188027,4.551376796
1.785329835,4.57677888
1.812913357,4.484157424
